
=== MEMORY LOOP - FRAMEWORK BACKEND CLI ===
(i) Audit statique AST de tous les modules sous src/...
(i) [PASS] src/cli.py (170 lignes, 1.6ms)
(i) [PASS] src/swarm.py (241 lignes, 2.0ms)
(i) [PASS] src/__init__.py (1 lignes, 0.2ms)
(i) [PASS] src/agents/base.py (20 lignes, 0.3ms)
(i) [PASS] src/agents/circuit_breaker.py (211 lignes, 1.4ms)
(i) [PASS] src/agents/orchestrator.py (75 lignes, 0.7ms)
(i) [PASS] src/agents/__init__.py (3 lignes, 0.2ms)
(i) [PASS] src/bridges/agentic_debate.py (95 lignes, 0.9ms)
(i) [PASS] src/bridges/antigravity_hook.py (225 lignes, 1.7ms)
(i) [PASS] src/bridges/batch_debate.py (131 lignes, 1.2ms)
(i) [PASS] src/bridges/confidence_gate.py (120 lignes, 1.0ms)
(i) [PASS] src/bridges/context_pruner.py (80 lignes, 0.7ms)
(i) [PASS] src/bridges/mcp_crawler.py (58 lignes, 0.8ms)
(i) [PASS] src/bridges/mcp_event_bus.py (158 lignes, 1.2ms)
(i) [PASS] src/bridges/mcp_loop_mem.py (268 lignes, 8.3ms)
(i) [PASS] src/bridges/mcp_openviking.py (225 lignes, 1.9ms)
(i) [PASS] src/bridges/mcp_resilience_guard.py (190 lignes, 1.1ms)
(i) [PASS] src/bridges/mcp_resources.py (186 lignes, 2.0ms)
(i) [PASS] src/bridges/mcp_sse_server.py (223 lignes, 1.4ms)
(i) [PASS] src/bridges/mcp_tools.py (233 lignes, 2.5ms)
(i) [PASS] src/bridges/story_guard.py (63 lignes, 1.1ms)
(i) [PASS] src/bridges/_mcp_graphify_schemas.py (100 lignes, 0.9ms)
(i) [PASS] src/bridges/_mcp_prompts.py (44 lignes, 0.8ms)
(i) [PASS] src/commands/router.py (252 lignes, 1.6ms)
(i) [PASS] src/commands/__init__.py (1 lignes, 0.4ms)
(i) [PASS] src/commands/handlers/analysis.py (57 lignes, 0.3ms)
(i) [PASS] src/commands/handlers/analysis_audit.py (205 lignes, 1.7ms)
(i) [PASS] src/commands/handlers/analysis_core.py (247 lignes, 1.9ms)
(i) [PASS] src/commands/handlers/analysis_rubber_duck.py (171 lignes, 1.6ms)
(i) [PASS] src/commands/handlers/analysis_sync.py (44 lignes, 0.5ms)
(i) [PASS] src/commands/handlers/archify_analysis.py (83 lignes, 0.6ms)
(i) [PASS] src/commands/handlers/archify_core.py (296 lignes, 1.8ms)
(i) [PASS] src/commands/handlers/architecture.py (35 lignes, 0.3ms)
(i) [PASS] src/commands/handlers/build_harness.py (188 lignes, 1.3ms)
(i) [PASS] src/commands/handlers/build_harness_tdd.py (169 lignes, 1.0ms)
(i) [PASS] src/commands/handlers/cache.py (27 lignes, 0.5ms)
(i) [PASS] src/commands/handlers/code_intelligence.py (232 lignes, 1.3ms)
(i) [PASS] src/commands/handlers/daemon.py (56 lignes, 0.8ms)
(i) [PASS] src/commands/handlers/dashboard.py (33 lignes, 0.5ms)
(i) [PASS] src/commands/handlers/deep_search.py (55 lignes, 0.6ms)
(i) [PASS] src/commands/handlers/dream.py (7 lignes, 0.3ms)
(i) [PASS] src/commands/handlers/dream_rsi.py (123 lignes, 1.0ms)
(i) [PASS] src/commands/handlers/export.py (40 lignes, 0.3ms)
(i) [PASS] src/commands/handlers/export_full.py (106 lignes, 0.7ms)
(i) [PASS] src/commands/handlers/export_story.py (296 lignes, 1.7ms)
(i) [PASS] src/commands/handlers/extraction.py (97 lignes, 0.9ms)
(i) [PASS] src/commands/handlers/fact_check.py (100 lignes, 0.9ms)
(i) [PASS] src/commands/handlers/fact_search.py (122 lignes, 1.1ms)
(i) [PASS] src/commands/handlers/gates.py (110 lignes, 0.8ms)
(i) [PASS] src/commands/handlers/graph_intelligence.py (190 lignes, 1.8ms)
(i) [PASS] src/commands/handlers/hook.py (92 lignes, 0.8ms)
(i) [PASS] src/commands/handlers/mcp_serve.py (21 lignes, 0.3ms)
(i) [PASS] src/commands/handlers/memo_search.py (111 lignes, 1.3ms)
(i) [PASS] src/commands/handlers/multi_draft.py (80 lignes, 0.8ms)
(i) [PASS] src/commands/handlers/notebooklm.py (90 lignes, 1.1ms)
(i) [PASS] src/commands/handlers/pipeline.py (101 lignes, 0.9ms)
(i) [PASS] src/commands/handlers/plannotator.py (241 lignes, 1.9ms)
(i) [PASS] src/commands/handlers/project.py (40 lignes, 0.4ms)
(i) [PASS] src/commands/handlers/project_core.py (234 lignes, 1.8ms)
(i) [PASS] src/commands/handlers/project_management.py (237 lignes, 1.8ms)
